,param_0,param_1,sigma,S,f,ef,r,alpha,NPV_ent,n_firms,Pr_mean,EP,C_mean,C_max,Sigma2,n_entr,n_ext
84,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.007667353353437002,18,0.0014564754692256727,0.0008990105806976709,0.24215824053230092,0.2714708839826102,0.31794241647907084,2,2
85,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.08074426030825464,17,0.002093333173331702,0.0006899732297247583,0.2368357641382077,0.26311296655539507,0.3171688415973437,2,3
86,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.07214951718372474,17,0.0024394180214718435,0.0007411314218309182,0.23704827334879658,0.26409408641516574,0.3173589814173443,2,2
87,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.07711804531062909,17,0.003184326090660807,0.0009605697543956879,0.23795308803838733,0.26409408641516574,0.3181685524553992,1,1
88,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.07083734185572706,18,0.001681756463234439,0.000761624464306174,0.24159444175724568,0.26409408641516574,0.3174349975815211,2,1
89,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.03259097145555377,17,0.002452004355047189,0.0008149677032486067,0.23735393309266872,0.26291623094027283,0.3176324664513352,1,2
90,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.06562827890202634,17,0.0028432712909732282,0.0007838685600994131,0.23722534301835244,0.2607998148590092,0.31751741217431534,1,1
91,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.06558025804508245,16,0.0038333450672233846,0.0006987014182553517,0.2318514847158422,0.25772642674775575,0.3172013197474153,1,2
92,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.08112596336059259,15,0.00582947226125755,0.0007147040376270317,0.22622893589135226,0.2453181007735832,0.3172608257864873,1,2
93,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.11609589025913956,15,0.005639501522451255,3.889693169415766e-05,0.22332688678624033,0.24464765411190484,0.3147001942231532,2,2
94,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,0.003928590101109923,15,0.0071162530728565735,3.889693169415766e-05,0.22332688678624033,0.24464765411190484,0.3147001942231532,0,0
95,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,0.003928590101109923,15,0.007121125005609898,0.00011747205658802808,0.2236701772570342,0.24464765411190484,0.31500309757973605,0,0
96,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.042442883110478766,14,0.00806225653523172,0.0011532552870194366,0.22156751816204498,0.24036860250092315,0.31887157839178937,1,2
97,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.06031428838021334,15,0.006274482224095562,0.0001497778757753119,0.22381085646483184,0.2487019920948673,0.3151272262924987,2,1
98,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0529656587098989,15,0.006228461494412181,0.0003368015337403638,0.22462005951015077,0.2487019920948673,0.3158412289795448,1,1
99,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.046229317676436135,15,0.006043113241014575,0.0011091856965599143,0.22787294494722585,0.2602344123785583,0.3187114220122581,1,1
100,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.005064724814866528,23,0.004994703830325121,0.0009597666858931538,0.23225476792702793,0.27795352119038397,0.2936743864928657,11,3
101,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.048914144949177014,21,0.0064348455926041825,0.0009218015149000409,0.22628667780769346,0.2487019920948673,0.2935660971287636,2,4
102,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.023075949380544247,22,0.0073448967980783795,0.0005785760439863084,0.22826420326343308,0.2487019920948673,0.292575519658147,1,0
103,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,0.005457780900261984,22,0.006714777734830066,0.0007369455785364715,0.22876568273680337,0.2536722773811822,0.2930352091754031,1,1
104,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,0.0009347672446199783,21,0.007227759090279493,0.0006019729866102719,0.22527645529734835,0.24850424898143514,0.29264372005410066,2,3
105,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.019799867063855378,22,0.008107086373660262,0.0026296363337354467,0.23440967362023504,0.29119544332199787,0.29820886748521547,1,0
106,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.04485137120635367,23,0.002132991177648268,0.0008169592572136401,0.23181058976366467,0.254706834764269,0.2932657425825715,8,7
107,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.00836420682577421,23,0.005231171186303205,0.0002636110365357852,0.23005159837604267,0.24850424898143514,0.29164747050595924,1,1
108,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.05181457390075436,23,0.004362992449537079,0.000606176326685335,0.23114778462096652,0.24850424898143514,0.2926559618512892,2,2
109,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.05087756489654962,22,0.006028349440405288,0.000731265274853652,0.2287477815407052,0.2428280910589102,0.29301879974564643,1,2
110,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.01707678758348318,22,0.006638670995821419,0.0004914848182261296,0.22798629189791522,0.24214597507694954,0.29232076757308895,1,1
111,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.06478358210769095,21,0.007870736373005978,-5.346422221194462e-05,0.22314085265399813,0.23712109547525223,0.2906938219884331,1,2
112,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.005399886443406407,20,0.009453373580875859,0.0010081833781843616,0.22319333736404637,0.2370020108967199,0.2938121248764058,0,1
113,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,0.0062547319451205525,21,0.007898232514024172,0.0010757468673876312,0.22676591300267485,0.25600498281298456,0.29400365969809444,2,1
114,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.024217269505077105,22,0.005434402275562713,0.0007157304980035476,0.2286987921759112,0.2581044622211087,0.2929738928279186,4,3
115,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.01471942380682397,21,0.00671860268343729,0.0009223914826583246,0.226288522958977,0.24534866296633193,0.29356778183210946,2,3
116,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.034985322212176255,21,0.007271876716171895,0.001100286528044784,0.22684189437120114,0.25228534964646,0.2940730339910967,2,2
117,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.01744081225362438,21,0.007999474098062918,0.0006971525087206085,0.2255791919345418,0.25228534964646,0.29292013176632076,1,1
118,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.04979552959797242,20,0.008826097485200269,0.0009226458117280959,0.22292535887896592,0.2424747116333557,0.2935685080717872,1,2
119,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.030111427206191154,20,0.00969666060597694,0.0010000218402714603,0.22316782832428256,0.2424747116333557,0.29378893484025687,1,1
120,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.04952768482672387,20,0.008892490904887715,0.0006389536220054934,0.22202644275717903,0.2424747116333557,0.29275131159743545,2,2
121,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.04378433065498747,20,0.009603425072322072,0.0009036858251590587,0.22286577033574467,0.2424747116333557,0.2935143366688588,1,1
122,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.019926559377445002,20,0.009810245807689414,0.0003964082539574757,0.22124514687548852,0.2424747116333557,0.2920410426140805,1,1
123,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.07503641037983125,20,0.009538116298877356,0.0005112563058517622,0.2216165973286802,0.2424747116333557,0.2923787248442547,1,1
124,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.07770155538618022,20,0.01001208989966427,-9.937170751060133e-05,0.21960948426972388,0.2360747707760177,0.29055407660883986,1,1
125,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.010036542458570734,19,0.01183034902959278,0.0008593641822549174,0.21900719034770388,0.2360747707760177,0.29338745793363685,0,1
126,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.03676358400482476,21,0.009361869819917297,0.0014672034063008509,0.22796484626462524,0.27687992419010965,0.29509833789378825,2,0
127,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.013246645966290212,20,0.007537139558630556,0.000996804960299481,0.2231577704388643,0.24668020251703415,0.2937797913080585,3,4
128,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.008247509223070978,20,0.010038507510922064,0.00017294085809270096,0.22051447597751084,0.24438478083152454,0.2913767963431917,1,1
129,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.031793700539642054,22,0.008953122273312847,0.0024017857659423096,0.2337614759171532,0.2973008851489351,0.29761468625739046,2,0
130,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.01201158004768702,23,0.004716969616067674,0.00097698614175196,0.23230806490460595,0.27578372207321444,0.2937234197122375,4,3
131,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,0.0017820501699747204,24,0.005332004891812893,0.0011902254985003708,0.2355202919512673,0.27578372207321444,0.2943264233396313,1,0
132,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.047917815142548545,22,0.003741966690469909,0.0003263316391702367,0.22745502885273633,0.2437631347162857,0.29183377644834163,4,6
133,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.0632005486589889,21,0.007194647754122538,0.0008973549114964993,0.22621016143704592,0.2437631347162857,0.29349623435556366,1,2
134,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,0.00047630702814979546,21,0.007539066965325762,0.00030697406354013995,0.22432648643480796,0.2437631347162857,0.29177635717960726,2,2
135,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.079514009584053,22,0.0088386591411508,0.001912670803087671,0.23234271839089402,0.2965387256023634,0.29631415852498616,1,0
136,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.08234987494614172,25,0.0065254564362676485,0.0014485513062961284,0.2386504887540797,0.2998429232386397,0.2950467488463701,3,0
137,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.045422644364448345,20,0.005604864362495597,0.00019260182468914047,0.22057918817246686,0.2437109429610039,0.2914356256113335,2,7
138,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.05577691288821248,20,0.009701524253984293,0.00046963584558231027,0.22148229926750948,0.2437109429610039,0.2922566356977359,1,1
139,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.053956415720992676,21,0.009596348654287315,0.0016848191018419192,0.22861958153300416,0.2828819788214202,0.295696139660569,1,0
140,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.0002602930339211159,22,0.006341955849853694,0.0010263194286960781,0.2296693985047533,0.2828819788214202,0.29386361529602384,3,2
141,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.019667643930943647,21,0.0074538235120903676,0.001005886999156512,0.22654899173412177,0.256851505690096,0.293805601148546,1,2
142,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.026557477899506774,22,0.006248282942752855,0.0005164952201002961,0.22806625794797852,0.256851505690096,0.29239406978564697,3,2
143,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.056222540168669115,21,0.007607377834678602,0.0007448637734080357,0.22573027134587273,0.24711529064802334,0.29305807383753596,1,2
144,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.04240293680440482,23,0.006903712359106438,0.000998215893834276,0.23237369772733632,0.2863148761659144,0.29378380190914943,2,0
145,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,0.00100261685950424,20,0.007690203737458921,0.0008721269193562708,0.22276643181104988,0.2433740612326921,0.29342402891913627,1,4
146,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.02548241736751413,22,0.00888750130840826,0.0025615782253455757,0.2342168817213241,0.29443793926418116,0.29803214157788044,2,0
147,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.020399235604001024,21,0.004974314415766417,0.0008448241713272728,0.22604535545097648,0.25603833314157387,0.2933457593248046,5,6
148,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.031618008924947164,22,0.008009427673724399,0.0015483003497780284,0.23126035534843029,0.27875104091979847,0.2953219924027278,1,0
149,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.08650476409586189,21,0.005633956802540899,0.0005830800611925629,0.2252161474340555,0.25603833314157387,0.29258865635283327,4,5
150,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.004670597998160804,23,0.006869265680701404,0.001060251668352316,0.2325650016854328,0.2730438126577572,0.2939598015505982,2,0
151,0.2,0.3,0.5,32,0.01,0.01,0.01,0.9,-0.04019426211508527,23,0.004821093489327646,0.0008320827378590825,0.23185781317338636,0.2649852654596634,0.29330918811951545,3,3
